X,Z,NAME,ICON,GROUP,URL
308,-268,ガンダム,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%AB%A4%A2%A4%AF%A4%A2%A1%DAMinecraft%A1%DB#gundam
231,-311,噴水広場,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#FountainSquare
239,-329,ゾンビトラップタワー,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#ZombieTT
125,-277,天空の城はあちゃま（空中ハウス）,normal,normal,https://seesaawiki.jp/hololivetv/d/%C0%D6%B0%E6%A4%CF%A4%A2%A4%C8%A1%DAMinecraft%A1%DB#skyhouse
326,-280,自動収穫畑,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%AB%A4%A2%A4%AF%A4%A2%A1%DAMinecraft%A1%DB#AutoHarvester
266,-321,クリスマスパーティー会場,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#partyvenue
287,-330,スノードーム,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#Snowglobe
518,-200,そらみこの家,normal,normal,
520,-215,我が子たちの小屋,normal,normal,
215,-240,みこの養蜂場,normal,normal,https://seesaawiki.jp/hololivetv/d/%A4%B5%A4%AF%A4%E9%A4%DF%A4%B3%A1%DAMinecraft%A1%DB#youhoujou
268,-306,イルミネーション（水のトンネル）,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%C6%C5%C4%A4%DA%A4%B3%A4%E9%A1%DAMinecraft%A1%DB#illumination
310,-333,ロボ子さんの地下秘密基地,normal,normal,https://seesaawiki.jp/hololivetv/d/%A5%ED%A5%DC%BB%D2%A4%B5%A4%F3%A1%DAMinecraft%A1%DB#robobase
258,-310,セイントサタンしかしか丸,normal,normal,https://seesaawiki.jp/hololivetv/d/%A4%B5%A4%AF%A4%E9%A4%DF%A4%B3%A1%DAMinecraft%A1%DB#sikasikamaru
304,-291,水中クリスマスツリー,normal,normal,https://seesaawiki.jp/hololivetv/d/%BB%E7%BA%E9%A5%B7%A5%AA%A5%F3%A1%DAMinecraft%A1%DB#aquariumtree
78,-453,クリスマスプレゼントボックス,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%AB%A4%A2%A4%AF%A4%A2%A1%DAMinecraft%A1%DB#aquapresentbox
221,-331,牢屋,normal,normal,https://seesaawiki.jp/hololivetv/d/%C7%AD%CB%F4%A4%AA%A4%AB%A4%E6%A1%DAMinecraft%A1%DB#rouya
223,-331,ホロライブレジスタンスマンション,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#resistancemansion
228,-61,さくら神社,normal,normal,https://seesaawiki.jp/hololivetv/d/%A4%B5%A4%AF%A4%E9%A4%DF%A4%B3%A1%DAMinecraft%A1%DB#sakurajinja
200,-296,資源サーバーポータル（軌道エレベーター）,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#ResourceWorldGate
188,-332,鏡餅,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#kagamimochi
305,-301,蜂養成場『あくプロ』,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%AB%A4%A2%A4%AF%A4%A2%A1%DAMinecraft%A1%DB#aqupro
348,-233,カフェ風4期生ハウス,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#FourthGenHouse
475,-147,ココの旧宅,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%CD%C0%B8%A5%B3%A5%B3%A1%DAMinecraft%A1%DB#cocohouse
462,-142,かなたの洋式建築,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%B7%B2%BB%A4%AB%A4%CA%A4%BF%A1%DAMinecraft%A1%DB#ppwc
238,-168,人間砲台,normal,normal,https://seesaawiki.jp/hololivetv/d/%A4%B5%A4%AF%A4%E9%A4%DF%A4%B3%A1%DAMinecraft%A1%DB#humanrocket
159,-144,常闇ハウス,normal,normal,https://seesaawiki.jp/hololivetv/d/%BE%EF%B0%C7%A5%C8%A5%EF%A1%DAMinecraft%A1%DB#towahouse
407,-168,よだれハウス（わため）,normal,normal,
351,-277,ルーナのヘーベルハウス,normal,normal,https://seesaawiki.jp/hololivetv/d/%C9%B1%BF%B9%A5%EB%A1%BC%A5%CA%A1%DAMinecraft%A1%DB#lunahouse
308,-265,天空あくあライン,normal,normal,https://seesaawiki.jp/hololivetv/d/%CC%AB%A4%A2%A4%AF%A4%A2%A1%DAMinecraft%A1%DB#aqualine
165,-366,花畑,normal,normal,https://seesaawiki.jp/hololivetv/d/%B2%C6%BF%A7%A4%DE%A4%C4%A4%EA%A1%DAMinecraft%A1%DB#flowergarden
165,-412,アヒラック要塞,normal,normal,https://seesaawiki.jp/hololivetv/d/%C2%E7%B6%F5%A5%B9%A5%D0%A5%EB%A1%DAMinecraft%A1%DB#ahilacfortress
257,-354,hololive（ピクセルアート）,normal,normal,https://seesaawiki.jp/hololivetv/d/%A4%B5%A4%AF%A4%E9%A4%DF%A4%B3%A1%DAMinecraft%A1%DB#hologlowlight
258,-348,ペンライト,normal,normal,https://seesaawiki.jp/hololivetv/d/%A4%B5%A4%AF%A4%E9%A4%DF%A4%B3%A1%DAMinecraft%A1%DB#hologlowlight
440,-169,羊監視塔,normal,normal,https://seesaawiki.jp/hololivetv/d/%C0%D6%B0%E6%A4%CF%A4%A2%A4%C8%A1%DAMinecraft%A1%DB#stalkingtower
465,-174,空中教会,normal,normal,https://seesaawiki.jp/hololivetv/d/%C0%D6%B0%E6%A4%CF%A4%A2%A4%C8%A1%DAMinecraft%A1%DB#SkyChurch
390,-168,よだれハウス（はあと）,normal,normal,
270,-389,マグマダイブチャレンジ,normal,normal,https://seesaawiki.jp/hololivetv/d/%A5%ED%A5%DC%BB%D2%A4%B5%A4%F3%A1%DAMinecraft%A1%DB#robobase
230,-288,ロボ子のお菓子屋,normal,normal,https://seesaawiki.jp/hololivetv/d/%A5%ED%A5%DC%BB%D2%A4%B5%A4%F3%A1%DAMinecraft%A1%DB#RoboSweetShop
462,-194,よだれハウス（フレア）,normal,normal,
490,-194,よだれハウス（ノエル）,normal,normal,
513,-456,LOVE HOUSE,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#lovehouse
123,-136,トワの家（新）,normal,normal,https://seesaawiki.jp/hololivetv/d/%BE%EF%B0%C7%A5%C8%A5%EF%A1%DAMinecraft%A1%DB#Towa2ndHouse
494,-239,よだれハウス（みこ）,normal,normal,
111,-653,そらマウンテン（跡地）,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%C6%C5%C4%A4%DA%A4%B3%A4%E9%A1%DAMinecraft%A1%DB#SoraMt
296,-364,はあちゃま観覧車,normal,normal,
-142,-722,スバルの家（スバルドダック）,normal,normal,
423,-138,自動羊毛収穫装置,normal,normal,
489,-217,よだれハウス（ぺこら）,normal,normal,
126,-87,常闇ウォーターパーク,normal,normal,https://seesaawiki.jp/hololivetv/d/%BE%EF%B0%C7%A5%C8%A5%EF%A1%DAMinecraft%A1%DB#tokoyamiwaterpark
